stem,angle_deg,angle_label,period_s,rate_Hz,A,dA,B,dB,Cw,dCw,D,dD,tau50_ms,dtau50_ms,beta,dbeta,rms,red_chi2,n_fit,plot
test016_3.78s_00deg,0,small angle (nominal 0°),3.78,2184699.2907650354,0.056103890344153313,0.0003516941072718068,-5.707778119946104,0.013717758083547124,1.8046851310128047,0.027172820661850568,0.9956292861202171,0.0004794828557482561,3.320041088931611,0.04554352048540021,0.11220778068830663,0.0007033882145436136,0.0021821057725927183,4.883677541315348e-06,160,test016_3.78s_00deg_erfc.png
test017_6.31s_00deg,0,small angle (nominal 0°),6.31,2203275.6898362157,0.05499428969514397,0.00036315670434558907,-5.21373256399996,0.015100693546456314,1.7919091569817147,0.027885625902534895,0.9971273850685411,0.0005873181439685745,5.441325639874179,0.08216779097421528,0.10998857939028794,0.0007263134086911781,0.0021164517100648473,4.594223426704017e-06,160,test017_6.31s_00deg_erfc.png
test018_9.77s_00deg,0,small angle (nominal 0°),9.77,2198032.9900983507,0.05833091843922862,0.00046475742711642236,-4.673971942245198,0.016377466190314723,1.9206767877063358,0.02710090195208843,0.9937874561282708,0.0008062226032128746,9.335117245939553,0.15288556707799894,0.11666183687845724,0.0009295148542328447,0.0017269817578804635,3.0589394790275855e-06,160,test018_9.77s_00deg_erfc.png
test019_14.23s_00deg,0,small angle (nominal 0°),14.23,2177503.091124845,0.056145562420967916,0.0005893138525976332,-4.277887438543638,0.02285806402802004,1.9881781295844516,0.03216417557884685,0.9961256406965354,0.0011073908410236689,13.871936471938614,0.31708561206819924,0.11229112484193583,0.0011786277051952663,0.0016177915549842616,2.6843584773111746e-06,160,test019_14.23s_00deg_erfc.png
test020_30.93s_00deg,0,small angle (nominal 0°),30.93,2232957.0883521456,0.05382984328102043,0.0002928239749724686,-4.078388102097897,0.009682631673199068,1.6156092320465627,0.014759785469936216,1.0055298076264132,0.0005466266007771526,16.934740737541226,0.16397285704273123,0.10765968656204086,0.0005856479499449372,0.0008723540716051006,7.805144884574328e-07,160,test020_30.93s_00deg_erfc.png
test021_33.59s_00deg,0,small angle (nominal 0°),33.59,2274751.1862624404,0.058605534707296444,0.0008941072411429625,-3.3901101234982005,0.025824219405727333,1.7051115591794566,0.027173682546913148,0.9932080057359834,0.0017454717465932785,33.70496498654069,0.8704044108747843,0.11721106941459289,0.001788214482285925,0.0010212645671920785,1.06972442687387e-06,160,test021_33.59s_00deg_erfc.png
test011_3.75s_10deg,10,10°,3.75,2040196.7979901603,0.0935570082186093,0.0003744250390529727,-6.900542940423604,0.007793048431418625,0.8823400980797701,0.013440402462143718,1.0015654286448132,0.000391964271491301,1.0072384101135454,0.007849457711999954,0.1871140164372186,0.0007488500781059454,0.003731768884608559,1.42831784698796e-05,160,test011_3.75s_10deg_erfc.png
test010_6.80s_10deg,10,10°,6.8,2035606.59821967,0.09474198781116602,0.00041250073449488337,-6.332037411230134,0.007832929698305069,0.9250844061446509,0.015591820311814367,1.0007774039253707,0.0004800613809797621,1.7784067296279908,0.013930134888168683,0.18948397562233205,0.0008250014689897667,0.003962191915263093,1.6101502331667918e-05,160,test010_6.80s_10deg_erfc.png
test012_10.90s_10deg,10,10°,10.9,2026325.59868372,0.09608199797816713,0.0003873018823498742,-5.813762818958905,0.006933446433283821,0.9234525686728138,0.013819699851417901,0.9986688509100016,0.0005253848275124516,2.9861724790472386,0.020704466924020382,0.19216399595633427,0.0007746037646997484,0.003784720991404655,1.469139793105542e-05,160,test012_10.90s_10deg_erfc.png
test014_15.51s_10deg,10,10°,15.51,2046955.5976522202,0.09807948764178386,0.0003472580863931853,-5.460458448071392,0.006719371513617637,0.9342495061215459,0.012427335731710768,1.002504807470503,0.0005187868896138262,4.2516061573138195,0.028568121300575827,0.1961589752835677,0.0006945161727863706,0.0033527810558897303,1.1529375188444158e-05,160,test014_15.51s_10deg_erfc.png
test015_19.93s_10deg,10,10°,19.93,1957787.40211063,0.09187364599096415,0.00038819559672159144,-5.264370295073657,0.007669867454870238,0.934955841953022,0.014480339506858455,0.9946065645757044,0.0005820476246525846,5.172649245696934,0.039673534105029995,0.1837472919819283,0.0007763911934431829,0.003524056556632095,1.2737409860863236e-05,160,test015_19.93s_10deg_erfc.png
test013_46.73s_10deg,10,10°,46.73,1909270.4045364796,0.0905851844232343,0.00043647988861888765,-4.50318915832627,0.00795485162392223,0.9673343443428977,0.014397829613218902,0.9908492790322624,0.0007454797768566203,11.07362462273514,0.08808904081286982,0.1811703688464686,0.0008729597772377753,0.0031864238478904435,1.041363788554353e-05,160,test013_46.73s_10deg_erfc.png
test022_3.85s_15deg,15,15°,3.85,1069742.3465128827,0.10328942205429968,0.00041065780708218037,-7.324597354964407,0.006522251868578409,0.8837027969167629,0.013918989883897694,1.0047408512026055,0.0003892713351437521,0.6591250033939884,0.004298979285013191,0.20657884410859936,0.0008213156141643607,0.003523985580886641,1.2736896794150724e-05,160,test022_3.85s_15deg_erfc.png
test023_4.65s_15deg,15,15°,4.65,1080355.7459822127,0.10347308439860088,0.00037223742858818646,-7.148413177516115,0.006391628708864122,0.9007673448192915,0.011847121989712685,1.004651923333748,0.00037312723254976445,0.786110509950902,0.005024526503742001,0.20694616879720176,0.0007444748571763729,0.003393970117533286,1.1814392983291187e-05,160,test023_4.65s_15deg_erfc.png
test024_5.88s_15deg,15,15°,5.88,1076103.2461948376,0.10317193851941733,0.0003743579570901767,-6.878602048804048,0.007115436507157454,0.9486038398639516,0.012483154040481883,1.0047366300882297,0.00039376708135685734,1.0295823454748698,0.007325927808116688,0.20634387703883467,0.0007487159141803534,0.0035594104713447088,1.299425938822396e-05,160,test024_5.88s_15deg_erfc.png
test025_7.81s_15deg,15,15°,7.81,1055095.9472452027,0.10156595054802782,0.0003669222918065781,-6.6413173254062645,0.007177932660366079,0.9370421458284108,0.012908940606611555,1.0044261074570344,0.0004224820940023932,1.305306597215982,0.009369402855947909,0.20313190109605564,0.0007338445836131562,0.003643055141223317,1.3612154627685786e-05,160,test025_7.81s_15deg_erfc.png
test026_11.45s_15deg,15,15°,11.45,1089864.8455067577,0.1036005795244081,0.00034528705971355463,-6.212918587484937,0.006760007952989454,0.9502020606734124,0.012299640999266741,1.0033457227547873,0.00045145926926832604,2.003381877929935,0.01354287742768131,0.2072011590488162,0.0006905741194271093,0.003449627471089184,1.2205056091582728e-05,160,test026_11.45s_15deg_erfc.png
test027_17.50s_15deg,15,15°,17.5,1121065.843946708,0.10163963169686452,0.0003732874938467948,-5.796068810646824,0.007004486175807963,0.9074932186048806,0.013680573103362485,1.0050067768209245,0.0005153244406356715,3.039480061336498,0.02128999607127544,0.20327926339372904,0.0007465749876935896,0.0037461152298200757,1.4393209553938378e-05,160,test027_17.50s_15deg_erfc.png
test027_37.33s_15deg,15,15°,37.33,1028004.1485997925,0.10094489255101115,0.0005029099115823109,-5.110620762299267,0.008442664899963615,0.9193647926617295,0.016103431663141675,1.0024994817977708,0.0007579939417447119,6.032337113634434,0.05092900081402926,0.2018897851020223,0.0010058198231646218,0.004321911234246117,1.915786329918235e-05,160,test027_37.33s_15deg_erfc.png
test08_3.03s,20,20° (unlabeled),3.03,2108939.2945530354,0.1235084529547385,0.00035079279417130895,-7.8786487107212695,0.006398544850327075,0.9058870809095031,0.012837684592083405,1.0010304247890742,0.0003059959520902915,0.37874450453622605,0.002423413699089949,0.247016905909477,0.0007015855883426179,0.0030801203789540318,9.730401588561979e-06,160,test08_3.03s_erfc.png
test04_5.70s,20,20° (unlabeled),5.7,2109490.4945254754,0.12020632580021821,0.0003107136050173398,-7.2463542083440755,0.0045545336374550665,0.9265072171103798,0.009259848969640355,0.9993185133420601,0.00029897753838443243,0.712768262191446,0.0032463270258613333,0.24041265160043643,0.0006214272100346796,0.0028193150386713658,8.152345935670281e-06,160,test04_5.70s_erfc.png
test05_6.30s,20,20° (unlabeled),6.3,2108837.3945581303,0.12336426022891121,0.0003130414994889938,-7.1219383885952885,0.004125669708211524,0.922391347058809,0.008202119362135123,0.9998421089773891,0.0003003816138921023,0.8072005653062401,0.003330242920735173,0.24672852045782243,0.0006260829989779876,0.00271318093685102,7.550103380606952e-06,160,test05_6.30s_erfc.png
test06_10.74s,20,20° (unlabeled),10.74,2125686.7937156605,0.1203536066069841,0.0003127192177073836,-6.602328685979952,0.004854721836036131,0.9270501524020032,0.009362640002612936,0.9997670399004677,0.0003530851089175864,1.3572038531970378,0.006588847182068036,0.2407072132139682,0.0006254384354147671,0.002923788800861155,8.767734309785753e-06,160,test06_10.74s_erfc.png
test07_29.09s,20,20° (unlabeled),29.09,2172561.9913719003,0.12150228556701081,0.0003538981934085851,-5.5485775159943245,0.0057929129128164985,0.9558713499229464,0.011224924108173304,1.000207755552657,0.0005290044970502929,3.8929910241518573,0.02255175797328802,0.24300457113402163,0.0007077963868171702,0.0035768212799017554,1.312169278805952e-05,160,test07_29.09s_erfc.png
test09_47.59s,20,20° (unlabeled),47.59,2163474.6918262653,0.13009054780844784,0.000498451198788083,-5.080986973573544,0.006883990226948878,0.8682327235834895,0.013160388109747012,0.9974749128827752,0.0008025010929253168,6.213773158576613,0.042775553696118664,0.2601810956168957,0.000996902397576166,0.004551226822232917,2.1244785217858808e-05,160,test09_47.59s_erfc.png
test03,20,20° (unlabeled),,2099369.5950315204,0.12276532206244635,0.0003224826986509379,-7.238743819360709,0.004244657306035435,0.8933749787447999,0.008797973159720184,0.999087751833757,0.000297694018720566,0.7182133994470734,0.003048569753255566,0.2455306441248927,0.0006449653973018758,0.002751176378431256,7.763047656654485e-06,160,test03_erfc.png
